keyword,frequency,year
BoundarySeer,0,2004
BoundarySeer,0,2005
BoundarySeer,0,2006
BoundarySeer,0,2007
BoundarySeer,0,2008
BoundarySeer,0,2009
BoundarySeer,0,2010
BoundarySeer,0,2011
BoundarySeer,0,2012
BoundarySeer,0,2013
BoundarySeer,1,2014
BoundarySeer,0,2015
Carpet,0,1990
Carpet,0,1991
Carpet,0,1992
Carpet,0,1993
Carpet,0,1994
Carpet,0,1995
Carpet,0,1996
Carpet,0,1997
Carpet,0,1998
Carpet,0,1999
Carpet,0,2000
Carpet,0,2001
Carpet,0,2002
Carpet,0,2003
Carpet,0,2004
Carpet,0,2005
Carpet,0,2006
Carpet,0,2007
Carpet,0,2008
Carpet,0,2009
Carpet,0,2010
Carpet,0,2011
Carpet,0,2012
Carpet,0,2013
Carpet,1,2014
Carpet,0,2015
case study,0,1990
case study,0,1991
case study,0,1992
case study,0,1993
case study,0,1994
case study,0,1995
case study,0,1996
case study,0,1997
case study,0,1998
case study,0,1999
case study,0,2000
case study,0,2001
case study,0,2002
case study,0,2003
case study,0,2004
case study,0,2005
case study,0,2006
case study,0,2007
case study,0,2008
case study,0,2009
case study,0,2010
case study,0,2011
case study,1,2012
case study,0,2013
case study,0,2014
case study,0,2015
categorical log data,0,1990
categorical log data,0,1991
categorical log data,0,1992
categorical log data,0,1993
categorical log data,0,1994
categorical log data,0,1995
categorical log data,0,1996
categorical log data,0,1997
categorical log data,0,1998
categorical log data,0,1999
categorical log data,0,2000
categorical log data,0,2001
categorical log data,0,2002
categorical log data,0,2003
categorical log data,0,2004
categorical log data,0,2005
categorical log data,0,2006
categorical log data,0,2007
categorical log data,0,2008
categorical log data,0,2009
categorical log data,0,2010
categorical log data,0,2011
categorical log data,0,2012
categorical log data,0,2013
categorical log data,0,2014
categorical log data,1,2015
Causality,0,1990
Causality,0,1991
Causality,0,1992
Causality,0,1993
Causality,0,1994
Causality,0,1995
Causality,0,1996
Causality,0,1997
Causality,0,1998
Causality,0,1999
Causality,0,2000
Causality,0,2001
Causality,0,2002
Causality,0,2003
Causality,0,2004
Causality,0,2005
Causality,0,2006
Causality,0,2007
Causality,0,2008
Causality,0,2009
Causality,0,2010
Causality,0,2011
Causality,0,2012
Causality,0,2013
Causality,0,2014
Causality,1,2015
caution spots,0,1990
caution spots,0,1991
caution spots,0,1992
caution spots,0,1993
caution spots,0,1994
caution spots,0,1995
caution spots,0,1996
caution spots,0,1997
caution spots,0,1998
caution spots,0,1999
caution spots,0,2000
caution spots,0,2001
caution spots,0,2002
caution spots,0,2003
caution spots,0,2004
caution spots,0,2005
caution spots,0,2006
caution spots,0,2007
caution spots,0,2008
caution spots,0,2009
caution spots,0,2010
caution spots,0,2011
caution spots,0,2012
caution spots,0,2013
caution spots,0,2014
caution spots,1,2015
cell phone call,0,1990
cell phone call,0,1991
cell phone call,0,1992
cell phone call,0,1993
cell phone call,0,1994
cell phone call,0,1995
cell phone call,0,1996
cell phone call,0,1997
cell phone call,0,1998
cell phone call,0,1999
cell phone call,0,2000
cell phone call,0,2001
cell phone call,0,2002
cell phone call,0,2003
cell phone call,0,2004
cell phone call,0,2005
cell phone call,0,2006
cell phone call,0,2007
cell phone call,1,2008
cell phone call,0,2009
cell phone call,0,2010
cell phone call,0,2011
cell phone call,0,2012
cell phone call,0,2013
cell phone call,0,2014
cell phone call,0,2015
cell phone data,0,1990
cell phone data,0,1991
cell phone data,0,1992
cell phone data,0,1993
cell phone data,0,1994
cell phone data,0,1995
cell phone data,0,1996
cell phone data,0,1997
cell phone data,0,1998
cell phone data,0,1999
cell phone data,0,2000
cell phone data,0,2001
cell phone data,0,2002
cell phone data,0,2003
cell phone data,0,2004
cell phone data,0,2005
cell phone data,0,2006
cell phone data,0,2007
cell phone data,1,2008
cell phone data,0,2009
cell phone data,0,2010
cell phone data,0,2011
cell phone data,0,2012
cell phone data,0,2013
cell phone data,0,2014
cell phone data,0,2015
CiteRivers,0,1990
CiteRivers,0,1991
CiteRivers,0,1992
CiteRivers,0,1993
CiteRivers,0,1994
CiteRivers,0,1995
CiteRivers,0,1996
CiteRivers,0,1997
CiteRivers,0,1998
CiteRivers,0,1999
CiteRivers,0,2000
CiteRivers,0,2001
CiteRivers,0,2002
CiteRivers,0,2003
CiteRivers,0,2004
CiteRivers,0,2005
CiteRivers,0,2006
CiteRivers,0,2007
CiteRivers,0,2008
CiteRivers,0,2009
CiteRivers,0,2010
CiteRivers,0,2011
CiteRivers,0,2012
CiteRivers,0,2013
CiteRivers,0,2014
CiteRivers,1,2015
classification,0,1990
classification,0,1991
classification,0,1992
classification,0,1993
classification,0,1994
classification,0,1995
classification,0,1996
classification,0,1997
classification,0,1998
classification,0,1999
classification,0,2000
classification,0,2001
classification,0,2002
classification,0,2003
classification,0,2004
classification,0,2005
classification,0,2006
classification,0,2007
classification,0,2008
classification,0,2009
classification,1,2010
classification,0,2011
classification,0,2012
classification,0,2013
classification,0,2014
classification,0,2015
classification model,0,1990
classification model,0,1991
classification model,0,1992
classification model,0,1993
classification model,0,1994
classification model,0,1995
classification model,0,1996
classification model,0,1997
classification model,0,1998
classification model,0,1999
classification model,0,2000
classification model,0,2001
classification model,0,2002
classification model,0,2003
classification model,0,2004
classification model,0,2005
classification model,0,2006
classification model,0,2007
classification model,0,2008
classification model,0,2009
classification model,1,2010
classification model,0,2011
classification model,0,2012
classification model,0,2013
classification model,0,2014
classification model,0,2015
classificatory distribution,0,1990
classificatory distribution,0,1991
classificatory distribution,0,1992
classificatory distribution,0,1993
classificatory distribution,0,1994
classificatory distribution,0,1995
classificatory distribution,0,1996
classificatory distribution,0,1997
classificatory distribution,0,1998
classificatory distribution,0,1999
classificatory distribution,0,2000
classificatory distribution,0,2001
classificatory distribution,0,2002
classificatory distribution,0,2003
classificatory distribution,0,2004
classificatory distribution,0,2005
classificatory distribution,0,2006
classificatory distribution,0,2007
classificatory distribution,1,2008
classificatory distribution,0,2009
classificatory distribution,0,2010
classificatory distribution,0,2011
classificatory distribution,0,2012
classificatory distribution,0,2013
classificatory distribution,0,2014
classificatory distribution,0,2015
classified document collections,0,1990
classified document collections,0,1991
classified document collections,0,1992
classified document collections,0,1993
classified document collections,0,1994
classified document collections,0,1995
classified document collections,0,1996
classified document collections,0,1997
classified document collections,0,1998
classified document collections,0,1999
classified document collections,0,2000
classified document collections,0,2001
classified document collections,0,2002
classified document collections,0,2003
classified document collections,0,2004
classified document collections,0,2005
classified document collections,0,2006
classified document collections,0,2007
classified document collections,0,2008
classified document collections,0,2009
classified document collections,1,2010
classified document collections,0,2011
classified document collections,0,2012
classified document collections,0,2013
classified document collections,0,2014
classified document collections,0,2015
Click2Annotate,0,1990
Click2Annotate,0,1991
Click2Annotate,0,1992
Click2Annotate,0,1993
Click2Annotate,0,1994
Click2Annotate,0,1995
Click2Annotate,0,1996
Click2Annotate,0,1997
Click2Annotate,0,1998
Click2Annotate,0,1999
Click2Annotate,0,2000
Click2Annotate,0,2001
Click2Annotate,0,2002
Click2Annotate,0,2003
Click2Annotate,0,2004
Click2Annotate,0,2005
Click2Annotate,0,2006
Click2Annotate,0,2007
Click2Annotate,0,2008
Click2Annotate,0,2009
Click2Annotate,1,2010
Click2Annotate,0,2011
Click2Annotate,0,2012
Click2Annotate,0,2013
Click2Annotate,0,2014
Click2Annotate,0,2015
clustering,0,1990
clustering,0,1991
clustering,0,1992
clustering,0,1993
clustering,0,1994
clustering,0,1995
clustering,0,1996
clustering,0,1997
clustering,0,1998
clustering,0,1999
clustering,0,2000
clustering,0,2001
clustering,0,2002
clustering,0,2003
clustering,0,2004
clustering,0,2005
clustering,0,2006
clustering,0,2007
clustering,0,2008
clustering,0,2009
clustering,0,2010
clustering,0,2011
clustering,0,2012
clustering,0,2013
clustering,0,2014
clustering,4,2015
CO<inf>2</inf>,0,1990
CO<inf>2</inf>,0,1991
CO<inf>2</inf>,0,1992
CO<inf>2</inf>,0,1993
CO<inf>2</inf>,0,1994
CO<inf>2</inf>,0,1995
CO<inf>2</inf>,0,1996
CO<inf>2</inf>,0,1997
CO<inf>2</inf>,0,1998
CO<inf>2</inf>,0,1999
CO<inf>2</inf>,0,2000
CO<inf>2</inf>,0,2001
CO<inf>2</inf>,0,2002
