keyword,frequency,year
capital markets,0,2002
capital markets,0,2003
capital markets,0,2004
capital markets,0,2005
capital markets,0,2006
capital markets,0,2007
capital markets,0,2008
capital markets,0,2009
capital markets,0,2010
capital markets,0,2011
capital markets,0,2012
capital markets,0,2013
capital markets,0,2014
capital markets,0,2015
cartogram generation,0,1990
cartogram generation,0,1991
cartogram generation,0,1992
cartogram generation,0,1993
cartogram generation,0,1994
cartogram generation,0,1995
cartogram generation,0,1996
cartogram generation,0,1997
cartogram generation,0,1998
cartogram generation,0,1999
cartogram generation,0,2000
cartogram generation,0,2001
cartogram generation,1,2002
cartogram generation,0,2003
cartogram generation,0,2004
cartogram generation,0,2005
cartogram generation,0,2006
cartogram generation,0,2007
cartogram generation,0,2008
cartogram generation,0,2009
cartogram generation,0,2010
cartogram generation,0,2011
cartogram generation,0,2012
cartogram generation,0,2013
cartogram generation,0,2014
cartogram generation,0,2015
Cartography,0,1990
Cartography,0,1991
Cartography,0,1992
Cartography,0,1993
Cartography,0,1994
Cartography,0,1995
Cartography,0,1996
Cartography,0,1997
Cartography,0,1998
Cartography,0,1999
Cartography,0,2000
Cartography,0,2001
Cartography,0,2002
Cartography,0,2003
Cartography,0,2004
Cartography,0,2005
Cartography,0,2006
Cartography,0,2007
Cartography,0,2008
Cartography,0,2009
Cartography,0,2010
Cartography,0,2011
Cartography,0,2012
Cartography,2,2013
Cartography,0,2014
Cartography,0,2015
circular visual designs,0,1990
circular visual designs,0,1991
circular visual designs,0,1992
circular visual designs,0,1993
circular visual designs,0,1994
circular visual designs,0,1995
circular visual designs,0,1996
circular visual designs,0,1997
circular visual designs,1,1998
circular visual designs,0,1999
circular visual designs,0,2000
circular visual designs,0,2001
circular visual designs,0,2002
circular visual designs,0,2003
circular visual designs,0,2004
circular visual designs,0,2005
circular visual designs,0,2006
circular visual designs,0,2007
circular visual designs,0,2008
circular visual designs,0,2009
circular visual designs,0,2010
circular visual designs,0,2011
circular visual designs,0,2012
circular visual designs,0,2013
circular visual designs,0,2014
circular visual designs,0,2015
Classification,0,1990
Classification,0,1991
Classification,0,1992
Classification,0,1993
Classification,0,1994
Classification,0,1995
Classification,0,1996
Classification,0,1997
Classification,0,1998
Classification,0,1999
Classification,0,2000
Classification,0,2001
Classification,0,2002
Classification,0,2003
Classification,0,2004
Classification,0,2005
Classification,0,2006
Classification,0,2007
Classification,0,2008
Classification,0,2009
Classification,0,2010
Classification,0,2011
Classification,0,2012
Classification,0,2013
Classification,1,2014
Classification,0,2015
Clouds,0,1990
Clouds,0,1991
Clouds,0,1992
Clouds,0,1993
Clouds,0,1994
Clouds,0,1995
Clouds,0,1996
Clouds,0,1997
Clouds,0,1998
Clouds,0,1999
Clouds,0,2000
Clouds,0,2001
Clouds,0,2002
Clouds,0,2003
Clouds,0,2004
Clouds,0,2005
Clouds,0,2006
Clouds,0,2007
Clouds,0,2008
Clouds,0,2009
Clouds,1,2010
Clouds,0,2011
Clouds,0,2012
Clouds,0,2013
Clouds,0,2014
Clouds,0,2015
cluster-based information visualization technique,0,1990
cluster-based information visualization technique,0,1991
cluster-based information visualization technique,0,1992
cluster-based information visualization technique,0,1993
cluster-based information visualization technique,0,1994
cluster-based information visualization technique,0,1995
cluster-based information visualization technique,0,1996
cluster-based information visualization technique,0,1997
cluster-based information visualization technique,1,1998
cluster-based information visualization technique,0,1999
cluster-based information visualization technique,0,2000
cluster-based information visualization technique,0,2001
cluster-based information visualization technique,0,2002
cluster-based information visualization technique,0,2003
cluster-based information visualization technique,0,2004
cluster-based information visualization technique,0,2005
cluster-based information visualization technique,0,2006
cluster-based information visualization technique,0,2007
cluster-based information visualization technique,0,2008
cluster-based information visualization technique,0,2009
cluster-based information visualization technique,0,2010
cluster-based information visualization technique,0,2011
cluster-based information visualization technique,0,2012
cluster-based information visualization technique,0,2013
cluster-based information visualization technique,0,2014
cluster-based information visualization technique,0,2015
clustered parallel coordinates display,0,1990
clustered parallel coordinates display,0,1991
clustered parallel coordinates display,0,1992
clustered parallel coordinates display,0,1993
clustered parallel coordinates display,0,1994
clustered parallel coordinates display,0,1995
clustered parallel coordinates display,0,1996
clustered parallel coordinates display,0,1997
clustered parallel coordinates display,0,1998
clustered parallel coordinates display,0,1999
clustered parallel coordinates display,0,2000
clustered parallel coordinates display,0,2001
clustered parallel coordinates display,0,2002
clustered parallel coordinates display,0,2003
clustered parallel coordinates display,0,2004
clustered parallel coordinates display,1,2005
clustered parallel coordinates display,0,2006
clustered parallel coordinates display,0,2007
clustered parallel coordinates display,0,2008
clustered parallel coordinates display,0,2009
clustered parallel coordinates display,0,2010
clustered parallel coordinates display,0,2011
clustered parallel coordinates display,0,2012
clustered parallel coordinates display,0,2013
clustered parallel coordinates display,0,2014
clustered parallel coordinates display,0,2015
Clustering,0,1990
Clustering,0,1991
Clustering,0,1992
Clustering,0,1993
Clustering,0,1994
Clustering,0,1995
Clustering,0,1996
Clustering,0,1997
Clustering,0,1998
Clustering,0,1999
Clustering,0,2000
Clustering,0,2001
Clustering,0,2002
Clustering,0,2003
Clustering,0,2004
Clustering,0,2005
Clustering,0,2006
Clustering,0,2007
Clustering,0,2008
Clustering,0,2009
Clustering,0,2010
Clustering,0,2011
Clustering,1,2012
Clustering,0,2013
Clustering,0,2014
Clustering,0,2015
Clutter,0,1990
Clutter,0,1991
Clutter,0,1992
Clutter,0,1993
Clutter,0,1994
Clutter,0,1995
Clutter,0,1996
Clutter,0,1997
Clutter,0,1998
Clutter,0,1999
Clutter,0,2000
Clutter,0,2001
Clutter,0,2002
Clutter,0,2003
Clutter,1,2004
Clutter,0,2005
Clutter,0,2006
Clutter,0,2007
Clutter,0,2008
Clutter,0,2009
Clutter,0,2010
Clutter,0,2011
Clutter,0,2012
Clutter,0,2013
Clutter,0,2014
Clutter,0,2015
code_swarm,0,1990
code_swarm,0,1991
code_swarm,0,1992
code_swarm,0,1993
code_swarm,0,1994
code_swarm,0,1995
code_swarm,0,1996
code_swarm,0,1997
code_swarm,0,1998
code_swarm,0,1999
code_swarm,0,2000
code_swarm,0,2001
code_swarm,0,2002
code_swarm,0,2003
code_swarm,0,2004
code_swarm,0,2005
code_swarm,0,2006
code_swarm,0,2007
code_swarm,0,2008
code_swarm,1,2009
code_swarm,0,2010
code_swarm,0,2011
code_swarm,0,2012
code_swarm,0,2013
code_swarm,0,2014
code_swarm,0,2015
Cognition,0,1990
